review,label,processed_review
"This film is absolutely awful, but nevertheless, it can be hilarious at times, although this humor is entirely unintentional.<br /><br />The plot was beyond ridiculous. I don't even think a 2 year-old would be convinced by the ludicrous idiocy that the film-makers tried to slap together into a story. However, on the positive side, some of the horrifically inane plot twists provide a great deal of humor. For example, ""Wow, Lady Hogbottom has a giant missile hidden in her back yard!"" It gets worse (and even funnier), but I'll spare you.<br /><br />The acting is generally laughable. Most of the kids' roles are sort of cute, but not very believable. On the other hand, Annie is pretty awful all-around. The adults don't take their roles seriously at all, but this is largely a good thing. If they'd tried to be believable, the film would've been even worse. Which is difficult to imagine.<br /><br />Once you get past the overall crappiness of the movie, there are actually a few standout moments of almost-not-crappiness. The scene where Lady Hogbottom's son runs away with the maid is surprisingly hilarious, though it's an annoying letdown when they get caught by the police. The butler character, while very minor, is a ray of sunlight that almost, but never quite pierces through the gloom.<br /><br />Watching this movie actually caused me physical pain. Nevertheless, there were a few redeeming parts that made it almost watchable without beginning to hemorrhage internally. Judged on its good parts alone, the movie would be about a 5; unfortunately, the rest of the movie hardly deserves a 1. Thus, I give it a 3.<br /><br />That's being pretty generous, I'd say.",0,this film is absolutely awful but nevertheless it can be hilarious at times although this humor is entirely unintentional the plot was beyond ridiculous i dont even think a yearold would be convinced by the ludicrous idiocy that the filmmakers tried to slap together into a story however on the positive side some of the horrifically inane plot twists provide a great deal of humor for example wow lady hogbottom has a giant missile hidden in her back yard it gets worse and even funnier but ill spare you the acting is generally laughable most of the kids roles are sort of cute but not very believable on the other hand annie is pretty awful allaround the adults dont take their roles seriously at all but this is largely a good thing if theyd tried to be believable the film wouldve been even worse which is difficult to imagine once you get past the overall crappiness of the movie there are actually a few standout moments of almostnotcrappiness the scene where lady hogbottoms son runs away with the maid is surprisingly hilarious though its an annoying letdown when they get caught by the police the butler character while very minor is a ray of sunlight that almost but never quite pierces through the gloom watching this movie actually caused me physical pain nevertheless there were a few redeeming parts that made it almost watchable without beginning to hemorrhage internally judged on its good parts alone the movie would be about a unfortunately the rest of the movie hardly deserves a thus i give it a thats being pretty generous id say
"Well since seeing part's 1 through 3 I can honestly say that they should have NEVER made part 4. Everything from the tacky, and I DO mean tacky score to the really bad acting, I dare anyone to watch this and not be bored out of their minds.<br /><br />I mean parts 1 to 3 kept the vibe strong on the plot of Damion, but without him around in this one it's just not the same. Sure by the end of part 3 I was getting a little tired of the continued story line's, but it was a good closure at the end of the third one. Again there was no reason for a part 4. Even if there was they could have done a MUCH better job than this sh*t I had to sit through, lol. There goes an hour and a half of my life i'll never see again.",0,well since seeing parts through i can honestly say that they should have never made part everything from the tacky and i do mean tacky score to the really bad acting i dare anyone to watch this and not be bored out of their minds i mean parts to kept the vibe strong on the plot of damion but without him around in this one its just not the same sure by the end of part i was getting a little tired of the continued story lines but it was a good closure at the end of the third one again there was no reason for a part even if there was they could have done a much better job than this sht i had to sit through lol there goes an hour and a half of my life ill never see again
"I got to see this film at a preview and was dazzled by it. It's not the typical romantic comedy. I can't remember laughing so hard at a film and yet being moved by it. The laughs aren't gags here--they're observations, laughs of recognition, little shocks of ""Oh, my God, I thought I was the only one who felt that way!"" I won't give away the plot, which is more than just ""Guy falls in love with his brother's girlfriend."" The whole family plays a part in the relationship here. Probably the best blend of laughter and warmth since ""While You Were Sleeping."" <br /><br />Steve Carell goes much deeper than he's gone before, and for the first time I really liked him. The cast is amazing, a list of veteran theater actors whom I've loved in other roles, but they blend to make a convincing family. Dianne Wiest is lovely as the mother, Juliette Binoche is luminous and hilarious (who knew she was funny?), and even the reviled Dane Cook gives a warm, quiet, touching performance. The Sondre Lerche soundtrack is a wonderful addition, and I'll buy the CD the second it's available.<br /><br />Don't miss this one.",1,i got to see this film at a preview and was dazzled by it its not the typical romantic comedy i cant remember laughing so hard at a film and yet being moved by it the laughs arent gags heretheyre observations laughs of recognition little shocks of oh my god i thought i was the only one who felt that way i wont give away the plot which is more than just guy falls in love with his brothers girlfriend the whole family plays a part in the relationship here probably the best blend of laughter and warmth since while you were sleeping steve carell goes much deeper than hes gone before and for the first time i really liked him the cast is amazing a list of veteran theater actors whom ive loved in other roles but they blend to make a convincing family dianne wiest is lovely as the mother juliette binoche is luminous and hilarious who knew she was funny and even the reviled dane cook gives a warm quiet touching performance the sondre lerche soundtrack is a wonderful addition and ill buy the cd the second its available dont miss this one
"This adaptation positively butchers a classic which is beloved for its subtlety. Timothy Dalton has absolutely no conception of the different nuances of Rochester's character. I get the feeling he never even read the book, just sauntered on set in his too tight breeches and was handed a character summary that read ""Grumpy, broody, murky past."" He plays Rochester not as a character or as a real person but as an over the top grouch who never cracks a smile until after he gets engaged at which point he miraculously morphs into a pansy. There is no chemistry. The only feeling that this adaptation excited in me was incredulity and also sympathy for Charlotte Bronte who is most definitely turning in her grave. GO AND REREAD THE BOOK. ROCHESTER HAS A PERSONALITY. AND BY THE WAY: A ""PASSIONATE"" LOVE SCENE DOES NOT MEAN YOU HAVE TO EAT HER FACE.",0,this adaptation positively butchers a classic which is beloved for its subtlety timothy dalton has absolutely no conception of the different nuances of rochesters character i get the feeling he never even read the book just sauntered on set in his too tight breeches and was handed a character summary that read grumpy broody murky past he plays rochester not as a character or as a real person but as an over the top grouch who never cracks a smile until after he gets engaged at which point he miraculously morphs into a pansy there is no chemistry the only feeling that this adaptation excited in me was incredulity and also sympathy for charlotte bronte who is most definitely turning in her grave go and reread the book rochester has a personality and by the way a passionate love scene does not mean you have to eat her face
"R̴zone is an awful movie! It is so simple. It seems they tried to make a movie to show the reel life. Just like Zappa did many years ago. But unfortunately Denmark lacks good young actors. Leon are by many still the little girl in ""krummernes Jul"", and Laura is simply not good enough to play such an important role. several times in the movie she plays with out soul and this is destroying the movie!<br /><br />Even though i consider it a movie you ought to see. I do not agree that the youth are behaving like this, but i think it can show how it can end, if you are letting your child down. Also it is important to support danish movies and new companies like ""Film folket""!<br /><br />all in all I think people should see R̴zone. Not because it is a great film, but because it is a movies which is dealing with important themes. I also think it is important to point out that there are some violent scenes in it, and actually it is in these scenes, Laura is acting best. - like the ending where she is holding the gun!",0,r̴zone is an awful movie it is so simple it seems they tried to make a movie to show the reel life just like zappa did many years ago but unfortunately denmark lacks good young actors leon are by many still the little girl in krummernes jul and laura is simply not good enough to play such an important role several times in the movie she plays with out soul and this is destroying the movie even though i consider it a movie you ought to see i do not agree that the youth are behaving like this but i think it can show how it can end if you are letting your child down also it is important to support danish movies and new companies like film folket all in all i think people should see r̴zone not because it is a great film but because it is a movies which is dealing with important themes i also think it is important to point out that there are some violent scenes in it and actually it is in these scenes laura is acting best like the ending where she is holding the gun
"Firstly, this is simply the funniest movie I have ever seen. It incorporates perfectly-timed slapstick, sexual humour, and cleverly-thought-up stand-up. But it goes deeper than that. The Souler Opposite is an original love story (something we don't see that often) that gave me hope that there is love out there;that two people who love each other can work through their adversity; and that such a comedic take on life (something I believe we all should have) can be accepted by the people that really matter. Chris Meloni gives a such a convincing performance as Barry Singer that he should have won an oscar. The film is brilliantly written and I hope we will be seeing more films from everyone involved in the future.",1,firstly this is simply the funniest movie i have ever seen it incorporates perfectlytimed slapstick sexual humour and cleverlythoughtup standup but it goes deeper than that the souler opposite is an original love story something we dont see that often that gave me hope that there is love out therethat two people who love each other can work through their adversity and that such a comedic take on life something i believe we all should have can be accepted by the people that really matter chris meloni gives a such a convincing performance as barry singer that he should have won an oscar the film is brilliantly written and i hope we will be seeing more films from everyone involved in the future
"The first hour of the movie was boring as hell. There is no suspense, no action, not even a plot. The movie went no where. I mean they could have made the movie in 15 min short film. Overall, the movie wasn't good at all, and I don't recommend it.",0,the first hour of the movie was boring as hell there is no suspense no action not even a plot the movie went no where i mean they could have made the movie in min short film overall the movie wasnt good at all and i dont recommend it
"I read Tom Robbins' EVEN COWGIRLS GET THE BLUES as a teenager. I loved every word. It was sexy, funny, and full of glamorous scenery and beautiful writing. But when I saw the movie, I could not believe what a dull, sour, joyless piece of junk it was. How did this happen? I think someone in Hollywood read this book and filed it under ""GAY PRIDE -- WOMEN -- LESBIANS."" (That's the Library of Congress subject heading.) Now anyone over 12 who reads the book will know it has NOTHING TO DO with real lesbians, any more than STAR WARS is about real space travel. The book was obviously -- and I do mean OBVIOUSLY --written by a heterosexual male who loves the IDEA of lesbians (in the nude, all the time)but has never really met one.<br /><br />Still, someone in Hollywood said, ""uh oh, better give this to a Gay director or Gay People will make trouble."" So they handed it to Gus Van Sant. Nothing against the man, but -- however Gay he may really be -- he has not a clue as to how to make a funny film. Gus Van Sant took a straight man's playful fantasy of guilt-free girl/girl action and male voyeurism turned it into a dull, literal-minded Lesbian Power Recruiting Poster. It's like turning an Oscar Wilde comedy into an Arthur Miller tragedy. Not pretty.<br /><br />The main clue that Gus Van Sant had absolutely no idea what to do with the source material is the riotously bad casting. His clout allowed him to hire the very best. His ignorance of the novel's real subtext (a straight man's fantasy, not a gay pride recruiting poster)caused him to make choices that were not only bad, but bizarre.<br /><br />Let's meet the cast of EVEN COWGIRLS GET THE BLUES.<br /><br />PAT MORITA as ""THE CHINK"" Okay, there are few name-recognition Asian actors. And Pat Morita, in HAPPY DAYS, was fairly funny. But casting him as THE CHINK was wrong, wrong, wrong. Pat Morita has no idea that the Chink is a very funny man. (Gus didn't tell him.) Pat also doesn't seem to know that the Chink is . . . well, SEXY!!! In the book he's not wise old Mr. Miyagi. He's more like Hugh Hefner! He's a randy old goat and he knows A LOT about pleasing the nubile and responsive Sissy AND Bonanza Jellybean. (You see, in the book, they aren't REALLY lesbians. Do you get that this is a straight man's fantasy yet?) <br /><br />JOHN HURT as ""THE COUNTESS."" Okay, he's a gay friendly man. But he is a SERIOUS, SHAKESPEAREAN ACTOR!!!! You need someone who is fun, and camp, for this role. For John Hurt to be cast as a goofy guy like the Countess is tragic and sad. I kept expecting Paul Scofield to wander in all dressed up as Thomas More, and sadly shake his head. ""Now, Richard, you know you've lost your soul entirely. For shame, my former student!"" And yes, John Hurt was funny (and pretty gay) as Caligula. But that was BLACK humor, not playful and breezy humor like the book.<br /><br />RAIN PHOENIX as ""Bonanza Jellybean."" No talent, no training, no problem. Except that in the book Bonanza is funny, playful, cheerful, (mostly) heterosexual, and loving. In the movie she's sullen, passive, expressionless, and dull. As for her taste for women, Robbins in the book puts it like this. ""God knows I love women, but nothing can take the place of a man that fits."" Uh, Gus? Did you read this book? <br /><br />UMA THURMAN as ""Sissy Hankshaw."" This is a tough role. In the book Sissy really is an unusually passive and timid heroine. Still, a more accomplished actress might have manufactured a twinkle in her eye, or a sway in her walk, to imply some sort of hidden strength or hidden enjoyment of her adventures. Uma doesn't pull it off, probably because Gus never told her Sissy is supposed to ENJOY being a hitch hiker with a beautiful body and giant thumbs. Uma plays it more like she's in a TV movie about a girl dying of leukemia. <br /><br />This movie is sour and dull. And I accuse YOU, Gus Van Sant!",0,i read tom robbins even cowgirls get the blues as a teenager i loved every word it was sexy funny and full of glamorous scenery and beautiful writing but when i saw the movie i could not believe what a dull sour joyless piece of junk it was how did this happen i think someone in hollywood read this book and filed it under gay pride women lesbians thats the library of congress subject heading now anyone over who reads the book will know it has nothing to do with real lesbians any more than star wars is about real space travel the book was obviously and i do mean obviously written by a heterosexual male who loves the idea of lesbians in the nude all the timebut has never really met one still someone in hollywood said uh oh better give this to a gay director or gay people will make trouble so they handed it to gus van sant nothing against the man but however gay he may really be he has not a clue as to how to make a funny film gus van sant took a straight mans playful fantasy of guiltfree girlgirl action and male voyeurism turned it into a dull literalminded lesbian power recruiting poster its like turning an oscar wilde comedy into an arthur miller tragedy not pretty the main clue that gus van sant had absolutely no idea what to do with the source material is the riotously bad casting his clout allowed him to hire the very best his ignorance of the novels real subtext a straight mans fantasy not a gay pride recruiting postercaused him to make choices that were not only bad but bizarre lets meet the cast of even cowgirls get the blues pat morita as the chink okay there are few namerecognition asian actors and pat morita in happy days was fairly funny but casting him as the chink was wrong wrong wrong pat morita has no idea that the chink is a very funny man gus didnt tell him pat also doesnt seem to know that the chink is well sexy in the book hes not wise old mr miyagi hes more like hugh hefner hes a randy old goat and he knows a lot about pleasing the nubile and responsive sissy and bonanza jellybean you see in the book they arent really lesbians do you get that this is a straight mans fantasy yet john hurt as the countess okay hes a gay friendly man but he is a serious shakespearean actor you need someone who is fun and camp for this role for john hurt to be cast as a goofy guy like the countess is tragic and sad i kept expecting paul scofield to wander in all dressed up as thomas more and sadly shake his head now richard you know youve lost your soul entirely for shame my former student and yes john hurt was funny and pretty gay as caligula but that was black humor not playful and breezy humor like the book rain phoenix as bonanza jellybean no talent no training no problem except that in the book bonanza is funny playful cheerful mostly heterosexual and loving in the movie shes sullen passive expressionless and dull as for her taste for women robbins in the book puts it like this god knows i love women but nothing can take the place of a man that fits uh gus did you read this book uma thurman as sissy hankshaw this is a tough role in the book sissy really is an unusually passive and timid heroine still a more accomplished actress might have manufactured a twinkle in her eye or a sway in her walk to imply some sort of hidden strength or hidden enjoyment of her adventures uma doesnt pull it off probably because gus never told her sissy is supposed to enjoy being a hitch hiker with a beautiful body and giant thumbs uma plays it more like shes in a tv movie about a girl dying of leukemia this movie is sour and dull and i accuse you gus van sant
"I waited for this movie to play in great anticipation. Assuming it would be more accurately portrayed like the movie, ""The Christmas Box"" based on the book by Richard Paul Evans. I sent out many emails to friends and family asking them to please watch this show, hoping they would better understand a tiny amount of my ""new"" life. After seeing this movie I was so disappointed. As a mother who lost her only child in November 2003 and REALLY knowing the pain, I had hoped that this movie would shed light to parents who ""think"" they understand the grief a parent goes through who has lost a child. This movie was a very light hearted movie and the silliness of Diane Keaton was a slap in the face to parents who have buried a child. It was VERY unrealistic from start to stop. I had a few calls after the movie, each call the same, ""That was so off the mark and made it appear that in a short time you are back on the road and listening to songs on the radio and life is back"" What a bunch of bull! It is clear that the director and Keaton have never lost a child because neither would have EVER made the movie to be so off the mark. I guess that's Hollywood.",0,i waited for this movie to play in great anticipation assuming it would be more accurately portrayed like the movie the christmas box based on the book by richard paul evans i sent out many emails to friends and family asking them to please watch this show hoping they would better understand a tiny amount of my new life after seeing this movie i was so disappointed as a mother who lost her only child in november and really knowing the pain i had hoped that this movie would shed light to parents who think they understand the grief a parent goes through who has lost a child this movie was a very light hearted movie and the silliness of diane keaton was a slap in the face to parents who have buried a child it was very unrealistic from start to stop i had a few calls after the movie each call the same that was so off the mark and made it appear that in a short time you are back on the road and listening to songs on the radio and life is back what a bunch of bull it is clear that the director and keaton have never lost a child because neither would have ever made the movie to be so off the mark i guess thats hollywood
"I actually felt bad for the actors in this thing. No doubt a high school drama class could do a better job or at the very least as well a job. The actors must have thought this would be their big chance working in a film, it certainly was not. Besides the terrible acting the stories were boring and for the most part predictable. The one about the remote control didn't even make any sense. To bad cause it had the best premise in the bunch.<br /><br />I'm all for supporting low budget films and giving new film makers a fair chance, but this turkey is a waste of time and an insult to the viewer. I only watched it because of some good comments posted here. They must have been planted by people with ties to the film. You may fool people into watching this, but you can't fool them into liking what they saw.<br /><br />I gave it a 2 instead of a 1 because at least the boxer story tried to be heart warming. Sure it failed miserably, but it tried. I reserve 1 s for the worst of the worst.<br /><br />Do yourself a favor and skip this dribble. I wish I had.",0,i actually felt bad for the actors in this thing no doubt a high school drama class could do a better job or at the very least as well a job the actors must have thought this would be their big chance working in a film it certainly was not besides the terrible acting the stories were boring and for the most part predictable the one about the remote control didnt even make any sense to bad cause it had the best premise in the bunch im all for supporting low budget films and giving new film makers a fair chance but this turkey is a waste of time and an insult to the viewer i only watched it because of some good comments posted here they must have been planted by people with ties to the film you may fool people into watching this but you cant fool them into liking what they saw i gave it a instead of a because at least the boxer story tried to be heart warming sure it failed miserably but it tried i reserve s for the worst of the worst do yourself a favor and skip this dribble i wish i had
